,Spanish,English
0,viajar , to travel
1,arreglar ," to arrange, to fix"
2,sugerir , to suggest
3,agradar , to be pleasing
4,lucir , to light up
5,llevarse (bien) , to get along (well)
6,tener , to have
7,enfadarse , to get angry
8,hervir , to boil
9,decir ," to say, to tell"
10,disfrutar , to enjoy
11,maltratar , to mistreat
12,romper , to break
13,arreglarse ," to get dressed up, to get ready"
14,yacer , to lie down
15,encantar , to enchant
16,pertenecer , to belong to
17,costar , to cost
18,cubrir , to cover
19,mojarse , to get wet
20,merecer , to deserve
21,actuar , to act
22,dormirse , to fall asleep
23,abordar , to board
24,poseer , to possess
25,envolver , to wrap
26,atraer , to attract
27,destruir , to destroy
28,parar , to stop
29,confirmar , to confirm
30,trabajar , to work
31,prometer , to promise
32,notar , to note
33,escalar ," to climb, to scale"
34,dormir , to sleep
35,vestirse , to get dressed
36,aclarar , to clarify
37,velar ," to watch over, to stay awake"
38,elegir , to elect
39,atender ," to attend to, to serve"
40,grabar ," to record, to tape"
41,ganar , to win
42,rogar , to beg
43,aconsejar , to advise
44,probar ," to taste, to test"
45,anunciar , to announce
46,zigzaguear , to zigzag
47,corregir , to correct
48,pararse , to stand up
49,recibir , to receive
50,quemarse , to burn oneself
51,ver , to see
52,publicar , to publish
53,pensar , to think
54,negar , to deny
55,mentir , to lie
56,espantar ," to scare, to frighten"
57,fumar , to smoke
58,olvidarse , to forget
59,vencer ," to conquer, to vanquish"
60,retirarse , to retire
61,quejarse , to complain
62,dirigir , to direct
63,demorarse , to delay
64,jubilarse , to retire
65,medir , to measure
66,operar , to operate
67,pelear , to fight
68,condenar , to condemn
69,juntar ," to unite, to join"
70,pagar , to pay
71,bajarse de , to get off (a bus)
72,dudar , to doubt
73,tratar de (hacer algo) , to try to (do something)
74,ahorrar , to save (money)
75,murmurar , to mumble
76,bucear ," to dive, to snorkel"
77,examinar , to examine
78,hornear , to bake
79,escapar , to escape
80,presentar ," to introduce, to present"
81,competir , to compete
82,apreciar , to appreciate
83,oscurecer , to grow dark
84,maquillarse , to put on makeup
85,preferir , to prefer
86,probarse , to try on
87,parecer , to seem
88,amenazar , to threaten
89,brindar , to offer
90,impedir , to impede
91,compartir , to share
92,confesar , to confess
93,bostezar , to yawn
94,estornudar , to sneeze
95,almorzar , to have lunch
96,permitir , to permit
97,absolver , to absolve
98,optar , to opt
99,prevenir , to prevent
100,gemir , to groan
101,mostrar , to show
102,partir , to leave
